idade,estado_civil,num_dependentes,renda_mensal,score_credito,num_emprestimos,valor_divida,historico_atraso,meses_emprego,tipo_conta,razao_divida_renda,inadimplente
56,Solteiro,0,9219.5,776,1,1087.59,0,1,Corrente,0.0098,0
62,Solteiro,0,3573.24,753,0,1527.56,0,7,Poupança,0.0356,0
61,Casado,3,5834.44,812,5,9447.51,1,10,Corrente,0.1349,0
29,Casado,2,4561.1,655,2,3675.33,1,31,Corrente,0.0671,1
38,Casado,0,4560.14,802,1,1365.56,1,10,Corrente,0.025,1
44,Viúvo,0,4086.99,537,1,3278.17,0,10,Premium,0.0668,0
46,Solteiro,2,2356.46,569,1,2609.79,0,36,Poupança,0.0923,0
20,Casado,3,5337.85,779,2,9179.1,1,44,Corrente,0.1433,0
49,Solteiro,0,3778.15,726,1,9990.81,0,37,Salário,0.2204,0
26,Solteiro,1,2238.0,556,4,17801.39,1,82,Salário,0.6628,0
60,Casado,3,7035.43,443,1,3902.36,1,96,Poupança,0.0462,0
56,Solteiro,3,4747.52,569,1,5985.58,1,29,Premium,0.1051,1
70,Casado,3,3929.75,497,4,10453.29,1,50,Corrente,0.2217,0
60,Casado,0,7850.14,858,3,7710.0,0,63,Salário,0.0818,0
38,Casado,0,1200.0,714,1,3060.54,0,115,Salário,0.2125,0
73,Casado,1,7682.05,485,1,14106.11,0,15,Poupança,0.153,0
41,Casado,0,2299.53,443,3,6160.46,1,2,Poupança,0.2233,0
36,Casado,3,5028.83,483,2,8627.89,1,13,Corrente,0.143,0
69,Solteiro,0,3029.84,516,2,1099.97,0,15,Corrente,0.0303,0
39,Solteiro,2,2192.5,574,2,16012.1,0,13,Poupança,0.6086,0
22,Casado,3,7784.72,767,4,302.28,0,11,Premium,0.0032,0
44,Viúvo,4,9140.54,455,2,6586.03,0,3,Corrente,0.06,0
63,Solteiro,2,3946.94,943,0,6839.29,1,46,Poupança,0.1444,0
28,Casado,3,5338.69,458,1,6178.2,0,0,Corrente,0.0964,1
44,Casado,0,4642.48,388,2,13393.6,0,14,Corrente,0.2404,1
25,Divorciado,1,8826.27,853,1,11040.89,0,0,Corrente,0.1042,0
57,Casado,0,1200.0,798,1,6147.91,1,64,Premium,0.4269,0
45,Casado,4,5442.81,572,2,2711.31,0,38,Corrente,0.0415,0
36,Casado,3,2682.18,657,1,1058.77,0,16,Corrente,0.0329,0
30,Divorciado,0,1200.0,660,4,614.68,0,5,Corrente,0.0427,1
50,Solteiro,0,3598.67,620,1,5819.05,0,75,Poupança,0.1348,0
56,Divorciado,1,9120.12,405,2,600.41,0,16,Poupança,0.0055,0
71,Solteiro,0,2859.88,227,2,16095.64,1,26,Corrente,0.469,1
42,Divorciado,3,6476.91,473,0,4600.24,1,80,Corrente,0.0592,1
27,Solteiro,0,7496.68,872,1,11501.14,0,4,Corrente,0.1278,0
65,Solteiro,2,4468.26,878,0,29526.31,0,41,Corrente,0.5507,0
53,Solteiro,2,4801.14,560,3,8309.67,0,16,Salário,0.1442,0
57,Casado,1,1200.0,456,2,3875.53,0,124,Salário,0.2691,0
23,Solteiro,0,2709.59,641,0,2406.15,0,24,Corrente,0.074,0
35,Solteiro,4,6767.52,665,1,10276.24,1,11,Poupança,0.1265,1
61,Casado,2,4651.7,690,4,11034.4,0,93,Corrente,0.1977,0
65,Casado,1,5418.35,220,1,1949.6,0,36,Corrente,0.03,0
42,Casado,1,4832.89,1000,4,731.08,0,56,Poupança,0.0126,0
63,Divorciado,3,9980.01,769,0,9442.34,0,140,Salário,0.0788,0
65,Casado,3,3423.7,570,0,2844.44,0,43,Corrente,0.0692,0
40,Solteiro,3,8513.53,492,2,5104.64,0,75,Corrente,0.05,1
69,Solteiro,2,4833.76,748,1,9431.33,1,43,Corrente,0.1626,1
34,Divorciado,3,8735.5,674,3,9973.13,0,55,Corrente,0.0951,0
31,Solteiro,0,1437.55,613,2,15715.69,0,2,Poupança,0.911,0
56,Casado,2,4961.63,668,2,30390.77,1,29,Salário,0.5104,1
54,Divorciado,1,3515.78,583,2,8320.94,0,1,Corrente,0.1972,1
25,Viúvo,2,4848.68,660,2,3172.88,1,21,Salário,0.0545,1
65,Casado,4,7555.94,708,2,36930.95,0,19,Premium,0.4073,1
29,Casado,4,5447.02,651,2,1471.01,0,121,Corrente,0.0225,1
63,Casado,1,7550.96,643,3,127.82,0,34,Poupança,0.0014,0
18,Casado,2,2824.45,808,2,8280.83,1,66,Corrente,0.2443,0
63,Solteiro,3,2442.91,360,1,5720.31,1,28,Poupança,0.1951,1
62,Solteiro,4,4540.26,480,1,8934.9,0,189,Salário,0.164,0
62,Casado,2,4403.37,603,1,7158.73,0,54,Salário,0.1355,1
55,Solteiro,0,4035.35,490,1,409.66,0,5,Poupança,0.0085,0
44,Casado,1,2103.42,540,1,4174.82,0,40,Salário,0.1654,0
58,Casado,3,7496.63,793,1,17376.45,0,148,Poupança,0.1932,0
33,Divorciado,2,3592.91,577,0,2681.34,1,9,Salário,0.0622,1
62,Divorciado,2,8065.2,325,3,18120.86,0,43,Salário,0.1872,0
49,Casado,2,4531.86,536,3,6919.89,0,23,Salário,0.1272,0
44,Casado,1,6121.07,608,1,3477.98,0,9,Corrente,0.0473,0
46,Solteiro,1,5894.27,605,4,4705.72,0,53,Corrente,0.0665,0
50,Casado,3,2439.31,683,4,2518.76,1,21,Salário,0.086,0
20,Solteiro,0,5418.01,671,3,8427.17,0,53,Corrente,0.1296,0
25,Divorciado,2,9320.83,579,0,3541.11,1,11,Poupança,0.0317,0
31,Divorciado,2,5129.03,421,1,15280.79,0,25,Poupança,0.2483,0
24,Divorciado,3,6753.19,533,1,1225.42,0,62,Salário,0.0151,0
43,Divorciado,1,6233.18,506,2,9371.19,0,33,Salário,0.1253,0
56,Viúvo,2,5267.62,557,2,4857.31,1,23,Corrente,0.0768,1
55,Solteiro,0,4966.2,703,2,4542.87,0,18,Poupança,0.0762,0
44,Divorciado,0,5868.29,660,3,12349.29,0,14,Salário,0.1754,1
66,Casado,1,6408.21,723,4,1224.26,0,19,Corrente,0.0159,1
50,Casado,0,1200.0,542,2,9433.79,0,0,Poupança,0.6551,0
22,Casado,3,5118.26,826,4,13620.14,1,167,Poupança,0.2218,0
61,Solteiro,3,4039.81,700,3,7221.48,1,32,Corrente,0.149,1
50,Solteiro,0,3521.18,616,1,1849.63,0,26,Corrente,0.0438,0
54,Solteiro,3,7739.91,690,3,8039.88,0,84,Corrente,0.0866,0
50,Solteiro,1,2667.13,498,0,11541.39,0,46,Salário,0.3606,0
49,Casado,2,1200.0,283,0,868.39,0,56,Corrente,0.0603,0
23,Divorciado,3,6489.29,508,5,1778.22,0,149,Poupança,0.0228,0
49,Casado,2,1200.0,712,1,8846.42,0,22,Poupança,0.6143,0
63,Casado,0,1200.0,612,1,8212.26,0,17,Corrente,0.5703,1
35,Casado,0,6770.67,579,4,9299.98,1,16,Poupança,0.1145,1
52,Casado,1,4896.81,472,1,317.08,0,85,Corrente,0.0054,0
19,Solteiro,3,5681.8,306,1,1744.4,1,28,Corrente,0.0256,1
37,Divorciado,2,3393.93,813,0,19475.26,1,16,Corrente,0.4782,0
42,Solteiro,1,1200.0,568,2,2785.39,1,3,Poupança,0.1934,1
74,Casado,0,1535.53,535,0,3869.7,1,112,Poupança,0.21,0
30,Casado,3,3819.53,499,0,8013.36,0,15,Corrente,0.1748,0
33,Casado,1,1318.99,788,3,10099.15,0,1,Corrente,0.6381,0
41,Divorciado,2,5267.63,732,1,14010.41,1,6,Corrente,0.2216,1
74,Solteiro,2,3343.86,454,2,9958.27,1,38,Corrente,0.2482,1
66,Divorciado,0,4962.59,774,0,7793.93,0,43,Corrente,0.1309,0
19,Casado,0,4887.87,578,2,3848.64,0,4,Corrente,0.0656,0
31,Casado,1,5467.0,508,2,20036.88,1,45,Poupança,0.3054,1
64,Casado,1,5748.71,555,1,2507.37,0,11,Premium,0.0363,0
21,Divorciado,2,3640.25,482,1,24720.71,0,13,Corrente,0.5659,0
66,Viúvo,3,4959.92,401,1,3630.33,0,114,Salário,0.061,1
34,Casado,0,5090.02,716,0,13942.88,0,39,Corrente,0.2283,0
70,Divorciado,1,1200.0,566,0,19490.36,0,168,Corrente,1.3535,0
34,Casado,0,6116.31,692,1,1916.99,0,27,Poupança,0.0261,0
42,Casado,0,4874.86,643,0,834.86,1,92,Corrente,0.0143,1
55,Divorciado,2,5910.12,682,1,14627.49,0,16,Poupança,0.2062,0
25,Casado,2,1282.89,293,0,6256.92,1,20,Corrente,0.4064,1
49,Casado,2,3710.57,469,3,6969.04,0,8,Salário,0.1565,1
46,Solteiro,0,1771.18,685,1,4291.57,1,60,Poupança,0.2019,1
62,Solteiro,2,6361.5,408,2,2795.58,0,28,Salário,0.0366,0
74,Divorciado,1,1200.0,655,2,1847.69,0,119,Corrente,0.1283,0
55,Casado,4,2178.36,391,1,3172.46,0,17,Corrente,0.1214,0
41,Casado,2,5835.79,602,1,16971.09,0,11,Salário,0.2423,1
41,Solteiro,3,2926.56,841,1,4032.2,0,19,Poupança,0.1148,0
41,Casado,0,2179.02,716,2,12263.97,0,54,Poupança,0.469,0
64,Divorciado,1,6766.8,322,1,14533.7,1,73,Poupança,0.179,1
36,Divorciado,2,6869.28,727,0,1041.68,0,22,Poupança,0.0126,0
27,Solteiro,1,6305.18,873,4,11964.46,1,33,Poupança,0.1581,1
37,Casado,2,6621.77,1000,2,36.29,0,2,Corrente,0.0005,0
19,Casado,1,3921.05,671,0,2710.48,0,16,Salário,0.0576,0
24,Casado,4,3988.52,395,4,3775.1,1,9,Salário,0.0789,1
23,Casado,0,2879.8,665,0,5810.03,0,123,Corrente,0.1681,0
61,Casado,3,4919.32,839,0,7094.13,1,12,Corrente,0.1202,1
59,Casado,1,3180.25,571,0,1293.54,0,185,Salário,0.0339,0
57,Casado,1,3417.33,756,4,218.44,0,55,Poupança,0.0053,1
44,Casado,1,5999.75,474,1,2561.37,1,16,Premium,0.0356,0
58,Casado,0,7461.35,655,3,3922.52,0,31,Poupança,0.0438,0
27,Divorciado,4,5495.65,226,2,3791.6,0,4,Corrente,0.0575,0
69,Casado,3,8985.79,457,2,23869.68,0,60,Corrente,0.2214,0
46,Solteiro,4,2736.21,599,1,7513.66,1,22,Poupança,0.2288,0
71,Divorciado,4,1200.0,545,0,694.76,0,25,Poupança,0.0482,0
26,Divorciado,2,6286.57,404,2,3702.57,0,23,Premium,0.0491,0
46,Solteiro,1,2570.42,525,1,4686.0,0,145,Salário,0.1519,0
57,Casado,3,3815.77,649,2,12478.69,0,58,Premium,0.2725,0
46,Solteiro,0,1200.0,587,0,6712.41,1,36,Salário,0.4661,0
43,Casado,3,2251.97,609,3,1080.23,1,17,Poupança,0.04,1
27,Solteiro,1,1200.0,709,2,16341.35,1,53,Poupança,1.1348,0
39,Casado,2,3414.24,548,2,5000.43,1,18,Poupança,0.122,1
31,Solteiro,1,3513.62,803,1,5553.35,1,109,Poupança,0.1317,0
35,Casado,1,4724.9,451,1,20477.67,0,13,Salário,0.3612,0
56,Divorciado,0,7599.31,889,1,568.08,0,4,Corrente,0.0062,0
53,Casado,1,6192.27,766,0,3885.38,0,50,Premium,0.0523,0
52,Divorciado,1,1200.0,546,2,1706.79,0,33,Poupança,0.1185,0
38,Viúvo,0,6020.04,556,0,452.26,1,9,Poupança,0.0063,1
72,Divorciado,0,4779.39,631,0,5122.82,0,181,Corrente,0.0893,0
22,Solteiro,2,4255.43,689,0,27537.34,0,15,Corrente,0.5393,1
37,Divorciado,1,4443.25,764,1,6008.0,1,5,Poupança,0.1127,1
24,Solteiro,3,5011.38,398,2,23248.91,0,46,Corrente,0.3866,1
37,Casado,0,2770.28,665,2,3793.11,1,53,Corrente,0.1141,1
72,Divorciado,2,4044.12,282,1,8684.01,1,41,Corrente,0.1789,1
38,Casado,0,7459.85,573,1,3457.75,0,54,Corrente,0.0386,0
69,Casado,1,2740.24,818,2,20124.73,1,66,Premium,0.612,0
46,Casado,2,1925.28,387,2,11936.09,0,5,Poupança,0.5166,1
57,Divorciado,2,4345.73,360,3,7932.39,0,37,Poupança,0.1521,1
44,Casado,1,1673.58,633,3,9295.16,1,71,Premium,0.4628,1
33,Casado,1,1200.0,808,3,940.4,0,29,Corrente,0.0653,0
61,Divorciado,0,3638.83,648,3,2646.49,0,7,Premium,0.0606,0
73,Solteiro,1,8121.55,314,3,771.97,0,12,Premium,0.0079,1
33,Solteiro,1,4403.49,347,2,4205.66,0,33,Poupança,0.0796,0
62,Casado,2,4946.44,614,2,5109.67,1,47,Poupança,0.0861,1
32,Viúvo,1,1200.0,423,2,20010.37,0,10,Salário,1.3896,1
58,Solteiro,2,5595.31,620,0,4023.43,0,1,Corrente,0.0599,0
62,Solteiro,1,4733.41,629,1,3808.36,1,54,Corrente,0.067,0
43,Solteiro,0,2837.71,526,4,1178.87,0,29,Corrente,0.0346,0
60,Divorciado,0,4950.13,872,2,3104.95,0,26,Corrente,0.0523,0
33,Solteiro,0,4925.3,688,0,5825.26,0,140,Corrente,0.0986,0
22,Casado,1,1851.28,781,1,5315.95,1,106,Salário,0.2393,0
23,Viúvo,3,5329.63,738,0,5613.94,0,9,Corrente,0.0878,0
43,Solteiro,2,7492.84,577,1,1237.84,0,90,Poupança,0.0138,0
69,Casado,1,3930.15,570,2,2545.34,0,47,Corrente,0.054,0
25,Casado,0,2331.01,555,2,15129.18,0,10,Corrente,0.5409,0
43,Divorciado,3,4056.05,702,1,3023.89,1,19,Salário,0.0621,1
58,Casado,0,6636.53,502,0,206.32,1,80,Salário,0.0026,0
29,Casado,1,1434.2,858,1,17220.59,0,52,Poupança,1.0006,0
59,Solteiro,3,5946.4,488,0,2617.74,0,5,Poupança,0.0367,0
35,Casado,1,2804.96,632,1,6968.97,0,145,Salário,0.207,0
64,Casado,0,5105.16,565,2,5971.33,0,16,Corrente,0.0975,0
51,Solteiro,0,3089.17,532,0,17927.74,0,19,Poupança,0.4836,0
49,Casado,2,3082.46,925,4,36622.72,0,44,Corrente,0.9901,0
28,Divorciado,0,8307.74,534,2,4421.23,0,61,Corrente,0.0443,0
44,Solteiro,2,1200.0,554,1,10970.28,1,3,Premium,0.7618,1
66,Solteiro,1,5713.42,500,1,8276.3,0,14,Salário,0.1207,0
19,Casado,1,8828.31,606,0,10318.93,0,127,Poupança,0.0974,0
61,Solteiro,0,6213.8,584,0,3030.54,0,148,Corrente,0.0406,0
46,Solteiro,3,1200.0,432,4,44288.49,0,24,Salário,3.0756,1
59,Casado,1,1296.05,536,2,1815.32,0,14,Premium,0.1167,0
55,Solteiro,2,2620.94,691,3,8993.28,0,8,Premium,0.2859,0
42,Casado,1,4894.77,754,2,2355.67,1,53,Salário,0.0401,0
35,Casado,0,5064.86,603,4,2876.79,0,16,Poupança,0.0473,0
53,Casado,1,1320.76,608,3,8562.2,0,66,Corrente,0.5402,0
25,Solteiro,1,2318.11,545,0,389.53,0,0,Corrente,0.014,0
51,Divorciado,1,2471.29,524,0,25014.2,0,58,Corrente,0.8435,0
23,Solteiro,3,4048.13,462,1,15766.87,1,26,Poupança,0.3246,1
55,Casado,3,9461.74,366,1,11679.11,0,50,Premium,0.1029,0
53,Casado,2,2167.03,494,2,365.93,1,20,Salário,0.0141,1
22,Casado,2,2057.61,735,1,5606.79,0,58,Corrente,0.2271,1
61,Solteiro,1,1667.15,536,3,2144.19,0,17,Corrente,0.1072,0
41,Solteiro,2,6088.86,548,0,5152.74,0,32,Corrente,0.0705,0
62,Casado,0,4396.65,545,3,3071.6,0,6,Poupança,0.0582,0
20,Solteiro,3,2259.43,786,1,15811.38,0,72,Salário,0.5832,0
28,Solteiro,3,3593.01,460,0,15925.75,0,85,Salário,0.3694,0
46,Casado,0,2521.22,641,3,9574.0,0,7,Salário,0.3164,0
28,Divorciado,3,5239.73,589,1,3542.65,1,52,Poupança,0.0563,0
36,Solteiro,3,11210.94,610,2,8940.2,0,7,Poupança,0.0665,0
55,Divorciado,1,5877.16,636,3,7410.07,0,11,Premium,0.1051,1
26,Casado,3,4267.53,608,0,2540.78,1,15,Poupança,0.0496,0
56,Divorciado,0,2837.56,718,1,2115.04,0,29,Corrente,0.0621,0
23,Casado,0,1200.0,595,0,7362.95,0,28,Corrente,0.5113,0
27,Casado,1,6334.22,861,0,2473.56,0,43,Corrente,0.0325,1
51,Casado,2,6198.39,606,4,6195.36,0,21,Corrente,0.0833,0
63,Casado,1,3334.75,344,3,25938.64,0,141,Poupança,0.6482,1
27,Divorciado,3,7533.33,695,1,9096.0,0,115,Salário,0.1006,0
35,Solteiro,0,4552.77,658,2,5115.36,1,31,Corrente,0.0936,0
70,Solteiro,0,6436.9,604,4,21229.3,0,14,Corrente,0.2748,0
74,Solteiro,2,5240.49,561,1,13276.73,1,2,Corrente,0.2111,0
51,Divorciado,0,4057.16,282,0,509.24,0,4,Salário,0.0105,0
43,Casado,2,2112.79,307,3,94.76,0,35,Corrente,0.0037,0
37,Casado,1,4136.16,847,2,28067.41,0,11,Corrente,0.5655,0
52,Divorciado,4,6605.13,512,0,4844.24,0,115,Poupança,0.0611,0
51,Viúvo,2,3229.66,744,1,13553.7,0,23,Poupança,0.3497,1
34,Solteiro,0,5599.35,359,0,727.83,0,48,Corrente,0.0108,0
19,Casado,0,1793.16,442,2,2069.01,0,3,Salário,0.0962,1
26,Divorciado,0,6450.15,701,2,1460.3,0,38,Poupança,0.0189,0
72,Solteiro,4,5282.35,584,1,5092.38,0,5,Poupança,0.0803,0
41,Casado,2,1494.72,680,3,1324.79,0,20,Poupança,0.0739,1
45,Casado,1,3939.96,597,1,2367.72,0,5,Corrente,0.0501,1
44,Casado,0,6828.6,568,2,12698.6,0,7,Corrente,0.155,0
62,Casado,3,1352.42,497,2,24295.98,0,61,Poupança,1.4971,1
21,Solteiro,0,1822.62,420,1,4866.3,0,36,Corrente,0.2225,0
22,Solteiro,2,4326.26,810,1,4323.26,0,5,Corrente,0.0833,0
33,Solteiro,2,9833.33,835,1,7437.89,1,5,Corrente,0.063,1
45,Solteiro,0,2818.55,444,2,10047.61,1,17,Poupança,0.2971,1
56,Casado,1,5738.18,434,2,3018.35,0,73,Salário,0.0438,0
45,Casado,0,5150.34,547,1,2929.3,0,11,Poupança,0.0474,0
43,Solteiro,1,3026.2,651,4,12001.06,1,0,Premium,0.3305,0
71,Casado,4,4902.83,572,3,4893.01,0,18,Poupança,0.0832,1
27,Casado,2,3380.41,674,0,8887.16,0,11,Poupança,0.2191,0
50,Casado,3,3605.49,592,0,10182.46,0,3,Corrente,0.2353,0
48,Divorciado,1,1200.0,582,2,940.25,0,2,Corrente,0.0653,0
44,Casado,0,4438.91,961,0,15483.76,0,111,Corrente,0.2907,0
64,Divorciado,2,6747.73,521,4,21598.04,0,12,Corrente,0.2667,1
33,Solteiro,1,4643.56,845,2,3793.49,0,35,Salário,0.0681,0
72,Casado,0,7226.27,817,0,8757.97,0,74,Corrente,0.101,0
36,Viúvo,1,5950.82,675,1,10280.88,0,12,Corrente,0.144,0
49,Divorciado,2,4351.15,311,1,11827.22,0,8,Salário,0.2265,0
47,Casado,2,2930.19,604,1,922.62,0,52,Corrente,0.0262,0
66,Casado,0,3284.34,522,1,4864.24,0,20,Salário,0.1234,1
43,Casado,3,1200.0,603,3,17523.62,0,264,Salário,1.2169,0
34,Casado,1,3832.3,440,2,10372.36,1,1,Corrente,0.2255,1
19,Casado,0,4865.0,713,4,210.33,0,12,Corrente,0.0036,0
38,Viúvo,0,8788.55,747,0,111.43,0,26,Premium,0.0011,0
65,Casado,3,5820.8,775,1,6314.39,0,2,Salário,0.0904,0
18,Solteiro,1,2337.87,542,3,5559.78,0,2,Premium,0.1982,0
69,Casado,1,1200.0,441,1,1402.91,0,7,Corrente,0.0974,0
48,Solteiro,0,3983.62,652,1,4015.06,0,9,Poupança,0.084,0
25,Solteiro,2,6529.41,863,5,3205.55,1,56,Corrente,0.0409,1
35,Solteiro,2,3948.46,610,3,4328.6,0,1,Corrente,0.0914,0
49,Casado,1,5854.96,667,3,1987.09,0,13,Corrente,0.0283,0
35,Solteiro,3,4047.19,564,1,6714.05,1,3,Salário,0.1382,0
24,Solteiro,0,6292.5,524,2,13477.08,0,54,Poupança,0.1785,0
55,Solteiro,0,1200.0,698,1,883.87,0,28,Salário,0.0614,0
56,Divorciado,2,8510.46,584,1,3057.76,0,3,Corrente,0.0299,0
24,Casado,2,1718.79,660,0,20586.53,0,52,Premium,0.9981,0
34,Solteiro,0,6484.33,676,3,4521.39,0,2,Corrente,0.0581,0
31,Solteiro,2,3819.54,652,1,3087.55,1,25,Premium,0.0674,1
55,Casado,1,4210.43,683,2,14879.74,0,51,Poupança,0.2945,0
59,Solteiro,2,3897.25,472,3,835.61,0,30,Corrente,0.0179,0
59,Casado,2,5139.01,462,3,5580.41,0,63,Salário,0.0905,1
71,Casado,4,5643.81,593,0,17961.61,0,12,Poupança,0.2652,0
61,Divorciado,1,7145.9,597,2,3727.0,1,21,Corrente,0.0435,1
36,Solteiro,2,8019.87,521,1,2743.27,0,6,Corrente,0.0285,0
24,Casado,2,5329.55,636,1,3085.37,0,45,Premium,0.0482,0
53,Solteiro,1,8784.19,736,0,3014.98,0,48,Premium,0.0286,0
70,Viúvo,0,4732.43,778,2,2406.17,1,9,Poupança,0.0424,0
73,Viúvo,4,7193.6,811,3,24961.43,0,55,Corrente,0.2892,0
31,Casado,0,5571.8,402,4,2474.48,0,12,Corrente,0.037,0
31,Casado,2,3126.99,425,1,5337.17,1,1,Corrente,0.1422,1
20,Solteiro,0,4953.09,556,1,11610.73,0,126,Poupança,0.1953,0
26,Divorciado,3,5757.93,612,0,2358.3,0,49,Poupança,0.0341,0
49,Casado,0,4419.5,564,5,11419.64,0,165,Corrente,0.2153,0
49,Solteiro,4,5532.14,517,3,18736.66,1,35,Salário,0.2822,0
39,Casado,2,6663.41,554,4,4829.53,1,55,Premium,0.0604,1
35,Casado,0,4441.57,672,1,8956.15,1,47,Corrente,0.168,1
65,Divorciado,2,1200.0,400,1,9169.63,0,55,Poupança,0.6368,0
44,Casado,2,8695.68,951,2,5638.37,1,8,Poupança,0.054,1
64,Casado,1,3756.02,603,1,1921.16,0,32,Corrente,0.0426,0
72,Casado,0,2441.8,757,1,30041.31,0,15,Poupança,1.0252,0
36,Solteiro,2,1689.72,512,0,2473.33,1,66,Corrente,0.122,0
29,Casado,2,3658.89,686,0,6922.78,1,7,Corrente,0.1577,0
72,Solteiro,1,3093.13,615,1,9775.09,1,4,Salário,0.2634,1
54,Casado,3,2657.48,728,4,4481.38,0,4,Corrente,0.1405,0
34,Casado,0,2794.68,570,2,7553.59,0,15,Salário,0.2252,0
53,Casado,0,5824.36,832,3,6909.77,1,118,Corrente,0.0989,0
47,Solteiro,2,9575.91,376,1,3365.41,1,15,Poupança,0.0293,1
69,Solteiro,0,6551.43,742,2,2762.17,0,2,Poupança,0.0351,0
32,Casado,0,7306.5,617,1,814.96,0,55,Salário,0.0093,0
74,Solteiro,1,3556.47,447,0,13231.79,0,20,Corrente,0.31,0
71,Solteiro,0,4761.66,892,1,30331.99,0,51,Poupança,0.5308,0
28,Casado,0,5566.21,877,0,8768.37,0,1,Premium,0.1313,0
27,Casado,2,2851.11,288,3,12018.2,1,9,Corrente,0.3513,1
48,Casado,1,3435.67,626,3,7866.85,0,39,Corrente,0.1908,0
20,Casado,3,6636.38,705,1,5147.28,1,3,Corrente,0.0646,1
35,Divorciado,2,7225.73,666,2,5476.8,0,50,Premium,0.0632,1
42,Solteiro,1,4668.53,827,1,682.59,0,18,Corrente,0.0122,0
73,Casado,0,1512.11,796,0,9070.91,0,31,Corrente,0.4999,0
74,Divorciado,2,3761.02,639,2,2686.28,0,32,Premium,0.0595,1
26,Casado,0,1200.0,941,3,15031.95,1,35,Corrente,1.0439,1
68,Casado,0,4688.01,740,3,6733.62,0,77,Corrente,0.1197,0
23,Casado,3,5138.51,547,0,2428.89,1,3,Poupança,0.0394,1
